"","name","trend","Species","ESU","pop"
"66","Chinook_Oregon Coast Chinook salmon_North.Umpqua spring Chinook",-0.00643935757100226,"Chinook","Oregon Coast Chinook salmon","North.Umpqua spring Chinook"
"67","Chinook_Oregon Coast Chinook salmon_Salmon fall Chinook",-0.000878853961783448,"Chinook","Oregon Coast Chinook salmon","Salmon fall Chinook"
"68","Chinook_Oregon Coast Chinook salmon_Siletz fall Chinook",-0.0259104261054118,"Chinook","Oregon Coast Chinook salmon","Siletz fall Chinook"
"69","Chinook_Oregon Coast Chinook salmon_Siuslaw fall Chinook",-0.0353895073451219,"Chinook","Oregon Coast Chinook salmon","Siuslaw fall Chinook"
"70","Chinook_Oregon Coast Chinook salmon_Sixes fall Chinook",-0.00266877025101328,"Chinook","Oregon Coast Chinook salmon","Sixes fall Chinook"
"71","Chinook_Oregon Coast Chinook salmon_South.Umpqua spring Chinook",-0.0494292251337016,"Chinook","Oregon Coast Chinook salmon","South.Umpqua spring Chinook"
"72","Chinook_Oregon Coast Chinook salmon_Tillamook fall Chinook",-0.00803295165593224,"Chinook","Oregon Coast Chinook salmon","Tillamook fall Chinook"
"73","Chinook_Oregon Coast Chinook salmon_Umpqua fall Chinook",-0.00582591268639128,"Chinook","Oregon Coast Chinook salmon","Umpqua fall Chinook"
"74","Chinook_Oregon Coast Chinook salmon_Yaquina fall Chinook",0.0096025781629813,"Chinook","Oregon Coast Chinook salmon","Yaquina fall Chinook"
"75","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Cascade River",-0.00959960497258684,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Cascade River"
"76","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Cedar River",0.0430844924258371,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Cedar River"
"77","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Dungeness River",0.0390835005267042,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Dungeness River"
"78","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Elwha River",0.0621244145523648,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Elwha River"
"79","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Green River",-0.0282689526965832,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Green River"
"80","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Lower Sauk River",-0.00571972411829975,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Lower Sauk River"
"81","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Lower Skagit River",0.0204051909033162,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Lower Skagit River"
"82","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Lower/North Fork/Middle Fork Nooksack",0.0340528782208898,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Lower/North Fork/Middle Fork Nooksack"
"83","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Mid-Hood Canal",0.034169873050894,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Mid-Hood Canal"
"84","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Nisqually River",0.0404898401790637,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Nisqually River"
"85","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - North Fork Stillaguamish River",-0.0268006111083446,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - North Fork Stillaguamish River"
"86","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Puyallup River",-0.0162346187454911,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Puyallup River"
"87","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Sammamish River",0.0200248270802901,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Sammamish River"
"88","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Skokomish River",0.0209274250218483,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Skokomish River"
"89","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Skykomish River",-0.0213700805442254,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Skykomish River"
"90","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Snoqualmie River",-0.0200417994538427,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - Snoqualmie River"
"91","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - South Fork Nooksack River",0.0235036909709842,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - South Fork Nooksack River"
"92","Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - South Fork/Mainstem Stillaguamish River",-0.0769249936004512,"Chinook","Puget Sound Chinook Salmon ESU","Chinook Salmon (Puget Sound ESU) - South Fork/Mainstem Stillaguamish River"
