,name,trend,Species,ESU,pop,run
91,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - South Fork Nooksack River,0.023503691,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - South Fork Nooksack River,early
92,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - South Fork/Mainstem Stillaguamish River,-0.076924994,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - South Fork/Mainstem Stillaguamish River,late
93,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Suiattle River,0.014654401,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Suiattle River,early
94,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Upper Sauk River,0.075586945,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Upper Sauk River,early
95,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - Upper Skagit River,0.003642182,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - Upper Skagit River,late
96,Chinook_Puget Sound Chinook Salmon ESU_Chinook Salmon (Puget Sound ESU) - White River,0.098071562,Chinook,Puget Sound Chinook Salmon ESU,Chinook Salmon (Puget Sound ESU) - White River,early
97,Chinook_Sacramento River Winter-run Chinook Salmon_sacramentoriv.chin.win,0.009243926,Chinook,Sacramento River Winter-run Chinook Salmon,sacramentoriv.chin.win,early
98,Chinook_Snake River Fall-run Chinook Salmon ESU_Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,0.153171012,Chinook,Snake River Fall-run Chinook Salmon ESU,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,late
99,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,0.01537999,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Bear Valley Creek,early
100,Chinook_Snake River Spring-Summer-run Chinook Salmon ESU_Chinook Salmon (Snake River Spring/Summer-run ESU) - Big Creek,0.044339503,Chinook,Snake River Spring-Summer-run Chinook Salmon ESU,Chinook Salmon (Snake River Spring/Summer-run ESU) - Big Creek,early
